分类: 🛰️卫视频道, 名称: 海南卫视, 有效: 5, IPv4: 12, IPv6: 3, 最小延迟: 116 ms, 最高速率: 9.10 M/s, 平均速率: 4.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 11, IPv6: 3, 最小延迟: 531 ms, 最高速率: 7.45 M/s, 平均速率: 2.28 M/s, 最高分辨率: 3840x2160, 平均帧率: 25.00, 视频编解码器: hevc, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 12, IPv6: 4, 最小延迟: 133 ms, 最高速率: 7.59 M/s, 平均速率: 6.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: ac3
分类: 🛰️卫视频道, 名称: 江西卫视, 有效: 5, IPv4: 11, IPv6: 4, 最小延迟: 114 ms, 最高速率: 9.05 M/s, 平均速率: 6.80 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 14, IPv6: 3, 最小延迟: 138 ms, 最高速率: 8.01 M/s, 平均速率: 3.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 10, IPv6: 5, 最小延迟: 131 ms, 最高速率: 7.88 M/s, 平均速率: 5.37 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 9, IPv6: 4, 最小延迟: 123 ms, 最高速率: 8.00 M/s, 平均速率: 6.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 康巴卫视, 有效: 0, IPv4: 0, IPv6: 1, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🛰️卫视频道, 名称: 三沙卫视, 有效: 4, IPv4: 8, IPv6: 1, 最小延迟: 120 ms, 最高速率: 23.75 M/s, 平均速率: 11.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 厦门卫视, 有效: 0, IPv4: 1, IPv6: 1, 最小延迟: 508 ms, 最高速率: 5.17 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🛰️卫视频道, 名称: 兵团卫视, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 4533 ms, 最高速率: 0.67 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 🛰️卫视频道, 名称: 大湾区卫视, 有效: 5, IPv4: 6, IPv6: 4, 最小延迟: 117 ms, 最高速率: 8.11 M/s, 平均速率: 6.56 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🍀广东频道, 名称: 广州影视, 有效: 3, IPv4: 0, IPv6: 5, 最小延迟: 636 ms, 最高速率: 0.30 M/s, 平均速率: 0.29 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🍀广东频道, 名称: 广州新闻, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 2946 ms, 最高速率: 0.29 M/s, 平均速率: 0.29 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🍀广东频道, 名称: 广州综合, 有效: 5, IPv4: 1, IPv6: 5, 最小延迟: 692 ms, 最高速率: 0.33 M/s, 平均速率: 0.29 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🍀广东频道, 名称: 广东珠江, 有效: 3, IPv4: 3, IPv6: 4, 最小延迟: 73 ms, 最高速率: 14.64 M/s, 平均速率: 9.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🍀广东频道, 名称: 广东新闻, 有效: 4, IPv4: 2, IPv6: 4, 最小延迟: 79 ms, 最高速率: 13.57 M/s, 平均速率: 3.76 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🍀广东频道, 名称: 广州竞赛, 有效: 4, IPv4: 1, IPv6: 5, 最小延迟: 496 ms, 最高速率: 5.45 M/s, 平均速率: 1.58 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🍀广东频道, 名称: 广东体育, 有效: 0, IPv4: 0, IPv6: 5, 最小延迟: 1627 ms, 最高速率: 7.92 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰香港频道, 名称: 凤凰资讯, 有效: 1, IPv4: 5, IPv6: 3, 最小延迟: 198 ms, 最高速率: 29.49 M/s, 平均速率: 0.21 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🍀广东频道, 名称: 广东民生, 有效: 3, IPv4: 2, IPv6: 4, 最小延迟: 637 ms, 最高速率: 0.30 M/s, 平均速率: 0.28 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰香港频道, 名称: 凤凰香港, 有效: 0, IPv4: 3, IPv6: 5, 最小延迟: 192 ms, 最高速率: 24.25 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰香港频道, 名称: 凤凰中文, 有效: 0, IPv4: 5, IPv6: 7, 最小延迟: 187 ms, 最高速率: 28.40 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 🇭🇰香港频道, 名称: 无线新闻台, 有效: 0, IPv4: 2, IPv6: 7, 最小延迟: 168 ms, 最高速率: 19.58 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: mjpeg, 音频编解码器: 未知
分类: 🇭🇰香港频道, 名称: TVB星河, 有效: 2, IPv4: 0, IPv6: 3, 最小延迟: 205 ms, 最高速率: 15.08 M/s, 平均速率: 8.10 M/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 🇭🇰香港频道, 名称: 明珠台, 有效: 5, IPv4: 1, IPv6: 12, 最小延迟: 131 ms, 最高速率: 18.58 M/s, 平均速率: 14.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.75, 视频编解码器: h264, 音频编解码器: aac
